29,100
80,91
48,97
49,97
44,74
52,47
78,33
53,26
71,85
74,26
25,36
92,59
85,38
80,31
91,99
87,75
45,66
74,66
47,81
45,49
41,36
72,82
51,43
46,97
54,79
95,73
40,98
95,27
43,90
80,93
94,88
57,94
71,50
80,47
74,45
83,97
36,89
36,61
87,63
76,87
54,51
68,97
79,53
85,83
59,70
90,51
43,41
84,53
54,88
26,49
61,89
68,67
96,55
73,100
30,48
51,97
48,98
40,92
46,87
73,77
50,76
71,86
59,92
66,27
37,59
72,58
97,52
39,98
93,31
33,28
37,51
76,63
82,60
81,87
25,88
80,61
81,33
48,71
98,44
91,80
87,51
94,47
95,74
50,53
67,83
29,28
54,61
34,33
55,72
58,75
66,82
95,44
76,41
56,29
48,29
89,26
96,37
84,35
75,30
45,66
